Direction,Stop Name,Stop Name Marathi,,,,,
DOWN,Dattamandir Pashan Road,दत्तमंदिर पाषाण रोड,,,,,
DOWN,Kokate Aali,कोकाटे आळी,,,,,
DOWN,Pashan Naka,पाषाण नाका,,,,,
DOWN,MES Pumping Station,एम.ई.एस.पंपिंग स्टेशन,,,,,
DOWN,ARDE Colony,ए.आर.डी.इ.कॉलनी,,,,,
DOWN,Pashan Tank Rasta,पाषाण टँक रस्ता,,,,,
DOWN,Bharat Ele Company,भारत इले.कंपनी,,,,,
DOWN,Bavdhan Phata,बावधान फाटा,,,,,
DOWN,Bavdhangaon,बावधनगांव,,,,,
DOWN,Shindenagar Bawdhan,शिंदेनगर बावधन,,,,,
DOWN,Chandani Chowk,चांदणी चौक,,,,,
DOWN,Shinde Farm,शिंदे फार्म,,,,,
DOWN,Hirabaug,हिराबाग,,,,,
DOWN,Swargate Corner,स्वारगेट कॉर्नर,,,,,
DOWN,Swargate,स्वारगेट,,,,,
DOWN,Lakshminarayan,लक्ष्मीनारायण,,,,,
DOWN,ST Colony,एसटी कॉलनी,,,,,
DOWN,Bhapkar Petrol Pump,भापकर पेट्रोल पंप,,,,,
DOWN,Aranyeshwar Corner,अरण्येश्वर कॉर्नर,,,,,
DOWN,Natubaug,नातुबाग,,,,,
DOWN,Padmawati,पद्मावती,,,,,
DOWN,Shankar Maharaj Math,शंकर महाराज मठ,,,,,
DOWN,Balajinagar,बालाजीनगर,,,,,
DOWN,Bharati Vidyapeeth Gate,भारती विद्यापीठ गेट,,,,,
DOWN,Sarpodyan,सर्पोद्यान,,,,,
DOWN,Morebaug,मोरेबाग,,,,,
DOWN,Katraj,कात्रज,,,,,
DOWN,Radha Hotel,राधा हॉटेल,,,,,
DOWN,DSK Vishwa,डिएसके विश्व,,,,,
DOWN,Chavanmala,चव्हाणमळा,,,,,
DOWN,Dhayarigaon,धायरीगांव,,,,,
DOWN,Ganeshnagar Dhayari,गणेशनगर धायरी ,,,,,
DOWN,Poultry Farm Dhayari,पोल्ट्री फार्म धायरी,,,,,
DOWN,Raykarvasti,रायकरवस्ती,,,,,
DOWN,Garmal,गारमाळ,,,,,
DOWN,Dhayari Phata,धायरी फाटा,,,,,
DOWN,Patil Colony,पाटील कॉलनी,,,,,
DOWN,Vadgaon Bk Phata,वडगाव बु.फाटा,,,,,
DOWN,Fun Time,फन टाईम,,,,,
DOWN,Indian Hume Pipe,इंडियन ह्युम पाईप,,,,,
DOWN,Manikbaug,माणिकबाग,,,,,
DOWN,Ganesh Park,गणेश पार्क,,,,,
DOWN,Anandnagar Sinhagad Road,आनंदनगर सिंहगड रोड ,,,,,
DOWN,Hingne,हिंगणे,,,,,
DOWN,Vitthalwadi Sinhagad Road,विठ्ठलवाडी सिंहगड रोड ,,,,,
DOWN,Rajaram Pul,राजाराम पुल,,,,,
DOWN,Rajaram Pul Corner,राजाराम पुल कॉर्नर,,,,,
DOWN,Vitthal Mandir Shreeman Society,विठ्ठल मंदीर श्रीमान सोसायटी ,,,,,
DOWN,Shreeman Society,श्रीमान सोसायटी,,,,,
DOWN,Shipra Society,शिप्रा सोसायटी,,,,,
DOWN,Canal Corner,कॅनाल कॉर्नर,,,,,
DOWN,Provision Stores,प्रोव्हीजन स्टोअर्स,,,,,
DOWN,Karvenagar,कर्वेनगर,,,,,
DOWN,Vadacha Stop,वडाचा स्टॉप,,,,,
DOWN,Gandhi Bhavan Phata,गांधी भवन फाटा,,,,,
DOWN,Khothrud Stand,कोथरुड स्‍टॅण्ड,,,,,
DOWN,Karve Putala,कर्वे पुतळा,,,,,
DOWN,Maruti Mandir Kothrud,मारुती मंदिर कोथरूड,,,,,
DOWN,Medi Point,मेडी पॉर्इंट,,,,,
DOWN,DP Road,डीपी रोड,,,,,
DOWN,DP Road Corner,डीपी रोड कॉनर्र,,,,,
DOWN,ITI Aundh,आयटीआय औंध ,,,,,
DOWN,Anand Park,आनंद पार्क,,,,,
DOWN,Sanewadi,सानेवाडी,,,,,
DOWN,Baner Phata,बाणेर फाटा,,,,,
DOWN,Sindh Colony Baner Road,सिंध कॉलनी बाणेर रोड,,,,,
DOWN,Sakalnagar,सकाळनगर,,,,,
DOWN,Chavannagar,चव्हाणनगर,,,,,
DOWN,Pune Vidhyapeeth Gate,पुणे विद्यापीठ गेट,,,,,
DOWN,E Square,ई स्केअर,,,,,
DOWN,Pumping Station,पंपिंग स्टेशन,,,,,
DOWN,Mhasoba Gate,म्हसोबा गेट,,,,,
DOWN,Simla Office,सिमला ऑफिस,,,,,
DOWN,Shivaji Putla,शिवाजी पुतळा,,,,,
DOWN,Ma Na Pa,मनपा,,,,,
DOWN,Pimplegurav,पिंपळेगुरव,,,,,
DOWN,Suvarnpark,सुवर्णपार्क,,,,,
DOWN,Pooja Hospital,पूजा हॉस्पिटल,,,,,
DOWN,Ramkrushna Mangal Karyalay,रामकृष्ण मंगल कार्यालय,,,,,
DOWN,Raviraj Hotel,रविराज हॉटेल,,,,,
DOWN,Shitaladevi Chowk Pimplegurav,शीतळादेवी चौक पिंपळेगुरव ,,,,,
DOWN,Dapodi Mantri Niketan,दापोडी मंत्री निकेतन,,,,,
DOWN,Shivaji Putla Dapodi,शिवाजी पुतळा दापोडी,,,,,
DOWN,Buddha Vihar Dapodi,बुध्द विहार दापोडी,,,,,
DOWN,Chhajed Petrol Pump,छाजेड पेट्रोल पंप,,,,,
DOWN,Bhau Patil Chowk,भाऊराव पाटील चौक,,,,,
DOWN,Dr Sayyad Dawakhana,डॉक्टर सय्यद दवाखाना,,,,,
DOWN,40 Aundh Road,४० औंध रोड,,,,,
DOWN,LIC Colony,एसआयसी कॉलनी,,,,,
DOWN,Khadki Station,खडकी स्टेशन,,,,,
DOWN,Balbhavan,बालभवन,,,,,
DOWN,Military Hospital Rangehills,मिलिटरी हॉस्पिटल रेंजहिल,,,,,
DOWN,Mutton Market,मटन मार्केट,,,,,
DOWN,Rangehills Post Office,रेंजहिल पोस्‍ट ऑफिस,,,,,
DOWN,Rangehills H type,रेंज हिल्स एच टाईप,,,,,
DOWN,Rangehills Circle 2,रेंजहिल सर्कल 2,,,,,
DOWN,Rangehills Circle 1,रेंजहिल सर्कल 1,,,,,
DOWN,Ashoknagar Rangehills,अशोकनगर रेंजहिल,,,,,
DOWN,Yashwantnagar Rangehills,यशवंतनगर रेंजहिल,,,,,
DOWN,Rangehills Corner,रेंजहिल्स कॉर्नर,,,,,
DOWN,Pune Station,पुणे स्टेशन,,,,,
DOWN,Jilha Parishad,जिल्हा परिषद,,,,,
DOWN,15 August Chowk,१५ ऑगस्ट चौक,,,,,
DOWN,Apollo Talkies,आपोलो टॉकीज,,,,,
DOWN,Phadke Haud,फडके हौद,,,,,
DOWN,Jijamatabaug,जिजामाताबाग,,,,,
DOWN,Vasant Talkies,वसंत टॉकीज,,,,,
DOWN,Appa Balawant Chowk,अप्पा बळवंत चौक,,,,,
DOWN,Kesariwada,केसरीवाडा,,,,,
DOWN,Mati Ganpati,माती गणपती,,,,,
DOWN,Kulkarni Petrol Pump,कुलकर्णी पेट्रोल पंप,,,,,
DOWN,Shivtirthnagar Corner,शिवतिर्थनगर कॉर्नर,,,,,
DOWN,Shivtirthnagar,शिवतिर्थनगर,,,,,
DOWN,Sutardara,सुतारदरा,,,,,
DOWN,Keshavnagar,केशवनगर,,,,,
DOWN,Keshavnagar Pul,केशवनगर पूल,,,,,
DOWN,Shindevasti Mundhwa,शिंदेवस्ती मुंढवा ,,,,,
DOWN,Mundhwagaon,मुंढवागांव,,,,,
DOWN,Mundhwa Shala,मुंढवा शाळा,,,,,
DOWN,Kacharevasti,कचरेवस्ती,,,,,
DOWN,Tadi Gutta,ताडी गुत्ता,,,,,
DOWN,Dhole Patil Farm,ढोले पाटील फार्म,,,,,
DOWN,Gulmohar City,गुलमोहर सिटी,,,,,
DOWN,Kalyaninagar Pul,कल्याणीनगर पुल,,,,,
DOWN,Bhairoba Pumping Station,भैरोबा पंपीग स्टेशन,,,,,
DOWN,Kalpataru Society Koregaonpark,कल्पतरू सोसायटी कोरेगावपार्क ,,,,,
DOWN,Kasturba Gandhi Shala,कस्तुरबा गांधी शाळा,,,,,
DOWN,Madhur Milan Mangal Karyalay,मधुर मिलन मंगल कार्यालय,,,,,
DOWN,KEM Hospital,केईएम हॉस्पीटल,,,,,
DOWN,Power House Rastapeth,पॉवर हाऊस रास्तापेठ ,,,,,
DOWN,Nana Peth,नाना पेठ,,,,,
DOWN,AD Camp Chowk,एडी कॅम्प चौक,,,,,
DOWN,Ramoshigate,रामोशीगेट,,,,,
DOWN,Sonawne Hospital,सोनवणे हॉस्पीटल,,,,,
DOWN,Ganjavewadi,गांजवेवाडी,,,,,
DOWN,Prakash Chicken Center,प्रकाश चिकन सेंटर,,,,,
DOWN,Lokmanyanagar,लोकमान्यनगर,,,,,
DOWN,Dandekar Pul,दांडेकर पूल,,,,,
DOWN,Ambil Odha Colony,अंबील ओढा कॉलनी,,,,,
DOWN,Racecourse,रेसकोर्स,,,,,
DOWN,Bhairoba Nala Police Chowky,भैरोबा नाला पोलीस चौकी,,,,,
DOWN,Fatimanagar,फातिमानगर,,,,,
DOWN,Kalubai Mandir Ramtekdi,काळूबाई मंदीर रामटेकडी,,,,,
DOWN,Ramtekdi,रामटेकडी,,,,,
DOWN,Vaiduwadi,वैदुवाडी,,,,,
DOWN,Magarpatta Dawakhana,मगरपट्टा दवाखाना,,,,,
DOWN,Hadapsargaon,हडपसरगांव,,,,,
DOWN,Hadapsar Gadital,हडपसर गाडीतळ,,,,,
DOWN,Satavwadi,सातववाडी,,,,,
DOWN,Gondhalenagar,गोंधळे नगर,,,,,
DOWN,Satyapuram,सत्यपुरम,,,,,
DOWN,IBM,आयबीएम,,,,,
DOWN,Ganganagar,गंगानगर,,,,,
DOWN,Bhekrainagar,भेकराईनगर,,,,,
DOWN,Mandai Stand,मंडई स्‍टॅण्ड,,,,,
DOWN,Common Wealth,कॉमनवेल्थ,,,,,
DOWN,Gokhale Hall,गोखले हॉल,,,,,
DOWN,Vijay Talkies,विजय टॉकीज,,,,,
DOWN,Ambedkarnagar Pimplegurav,आंबेडकरनगर पिंपळेगुरव,,,,,
DOWN,Gangardenagar,गांगर्डेनगर,,,,,
DOWN,Shreekrushna Mandir,श्रीकृष्ण मंदिर,,,,,
DOWN,Katepuram Chowk,काटेपूरम चौक,,,,,
DOWN,Krushna Bazar Chowk,कृष्ण बाजार चौक,,,,,
DOWN,Sai Chowk Navisangvi,साई चौक,,,,,
DOWN,Panyachi Taki NaviSangvi,पाण्याची टाकी नवी सांगवी,,,,,
DOWN,Navi Sangvi,नवी सांगवी,,,,,
DOWN,BR Gholap Vidyalay,बीआर  घोलप विद्यालय,,,,,
DOWN,Sangvi Phata,सांगवी फाटा,,,,,
DOWN,Aundhgaon,औंध गांव,,,,,
DOWN,Bodygate,बॉडीगेट,,,,,
DOWN,Police Workshop,पोलीस वर्कशॉप,,,,,
DOWN,Kasba Peth Police Chowky,कसबा पेठ पोलीस चौकी,,,,,
DOWN,Pimplegurav Ma Na Pa Shala,पिंपळेगुरव मनपा शाळा,,,,,
DOWN,Ramnagar Pimplegurav,रामनगर पिंपळेगुरुव,,,,,
DOWN,Mayurnagari,मयुरनगरी,,,,,
DOWN,Vasantdada Putala Sangvi,वंसतदादा पुतळा सांगवी,,,,,
DOWN,Chandramaninagar,चंद्रमणीनगर,,,,,
DOWN,Mahadev Mandir Sangvi,महादेव मंदिर सांगवी,,,,,
DOWN,Om Medical,ओम मेडिकल,,,,,
DOWN,Sangvigoan,सांगवी गाव,,,,,
DOWN,Anandnagar Sangvi,आंनदनगर सांगवी,,,,,
DOWN,Narsinha Highschool,नृसिंह हायस्कूल,,,,,
DOWN,PWD Colony,पी ड्ब्लु डी कॉलनी,,,,,
DOWN,Bremen Chowk,ब्रेमण चौक,,,,,
DOWN,Sindh Colony Aundh Road,सिंध कॉलनी औंध रोड,,,,,
DOWN,Kasturba Gandhi Vasahat,कस्तुरबा गांधी वसाहत,,,,,
DOWN,Gol Market Aundh Road,गोल मार्केट औंध रोड,,,,,
DOWN,Bal Kalyan Sanstha,बाल कल्याण संस्था,,,,,
DOWN,Mhalungegaon,म्हाळुंगेगांव,,,,,
DOWN,Mhalunge Stadium Gate,म्हाळुंगे स्टेडीयम गेट,,,,,
DOWN,Mhalunge Corner,म्हाळुंगे कॉर्नर,,,,,
DOWN,Insurance Company,इन्शुअरन्स कंपनी,,,,,
DOWN,Samadhi Mandir,समाधी मंदीर,,,,,
DOWN,Kalamkarvasti,कळमकरवस्ती,,,,,
DOWN,Balewadi Phata,बालेवाडी फाटा,,,,,
DOWN,Banergaon Odha,बाणेर ओढा,,,,,
DOWN,Banergaon,बाणेरगांव,,,,,
DOWN,Murkutevasti,मुरकुटे वस्ती,,,,,
DOWN,Ambedkarnagar Baner,आंबेडकर नगर,,,,,
DOWN,Trimurti Bungalow,त्रिमुर्ती बंगला,,,,,
DOWN,Green Park,ग्रीन पार्क,,,,,
DOWN,Someshwarwadi Phata,सोमेश्वरवाडी फाटा,,,,,
DOWN,Khadki Bazar,खडकी बाजार,,,,,
DOWN,Alegaonkar Shala,आलेगांवकर शाळा,,,,,
DOWN,Manajibaug,मानाजीबाग,,,,,
DOWN,Bopodigaon,बापोडीगांव,,,,,
DOWN,Jaidevnagar,जयदेवनगर,,,,,
DOWN,Vitthalwadi Jakat Naka,विठ्लवाडी जकात नाका,,,,,
DOWN,PL Deshpande Udyan,पू ल देशपांडे उद्यान,,,,,
DOWN,Ganeshmala,गणेशमळा,,,,,
DOWN,Parvati Jalshuddhikaran Kendra,पर्वती जलशुध्दीकरण केंद्र,,,,,
