BRTS,100-U,100-U-02,2,Shivaji Maharaj Putla,शिवाजी महाराज पुतळा,18.526309,73.852866,1,,"18.67648,73.90238",,,,,,,,,,,,,,
BRTS,100-U,100-U-03,3,Simla Office,सिमला ऑफिस,18.530306,73.849098,1,,"18.67654,73.90041",,,,,,,,,,,,,,
BRTS,100-U,100-U-04,4,Mhasoba Gate,म्हसोबा गेट,18.532350,73.842404,2,,,,,,,,,,,,,,,,
BRTS,100-U,100-U-05,5,Pumping Station,पंपिंग स्टेशन,18.533059,73.841372,2,, ,,,,,,,,,,,,,,
BRTS,100-U,100-U-06,6,Mafatlal Bungalow,मफतलाल बंगला,18.536467,73.836483,2,,"18.67644,73.90036",,,,,,,,,,,,,,
BRTS,100-U,100-U-07,7,Rangehills Corner,रेंजहिल्स कॉर्नर,18.539017,73.833213,2,,"18.67649,73.90242",,,,,,,,,,,,,,
BRTS,100-U,100-U-08,8,Pune Vidhyapeeth Gate Aundh Road,पुणे विद्यापीठ गेट औंध रोड,18.543632,73.827019,3,,"18.67321,73.90953",,,,,,,,,,,,,,
BRTS,100-U,100-U-09,9,Bal Kalyan Sanstha,बाल कल्याण संस्था,18.548821,73.823301,3,,"18.67097,73.91671",,,,,,,,,,,,,,
BRTS,100-U,100-U-10,10,Gol Market Aundh Road,गोल मार्केट औंध रोड,18.551242,73.821523,3,,"18.67009,73.91917",,,,,,,,,,,,,,
BRTS,100-U,100-U-11,11,Kasturba Gandhi Vasahat,कस्तुरबा गांधी वसाहत,18.555117,73.818767,4,,"18.66749,73.92535",,,,,,,,,,,,,,
BRTS,100-U,100-U-12,12,Sindh Colony Aundh Road,सिंध कॉलनी औंध रोड,18.556477,73.817735,4,,"18.66683,73.92839",,,,,,,,,,,,,,
BRTS,100-U,100-U-13,13,Bremen Chowk,ब्रेमण चौक,18.560652,73.814618,4,," 18.66677,73.92871",,,,,,,,,,,,,,
BRTS,100-U,100-U-14,14,Bodygate,बॉडीगेट,18.563284,73.813126,4,,"18.66672,73.92903",,,,,,,,,,,,,,
BRTS,100-U,100-U-15,15,Aundhgaon,औंध गांव,18.565572,73.812173,5,,"18.66601,73.93486",,,,,,,,,,,,,,
BRTS,100-U,100-U-16,16,Sangvi Phata,सांगवी फाटा,18.572723,73.807175,5,,"18.66604,73.94209",,,,,,,,,,,,,,
BRTS,100-U,100-U-17,17,Aundh Hospital,औंध हॉस्पिटल,18.576771,73.803269,6,," 18.66793,73.95252",,,,,,,,,,,,,,
BRTS,100-U,100-U-18,18,Rakshak Chowk,रक्षक चौक,18.581076,73.798612,6,,"18.66803,73.95321",,,,,,,,,,,,,,
BRTS,100-U,100-U-19,19,Wakad Phata,वाकड फाटा,18.587657,73.789301,7,,"18.67008,73.95893",,,,,,,,,,,,,,
BRTS,100-U,100-U-20,20,Vishalnagar,विशालनगर,18.588361,73.784156,8,,"18.67147,73.96437",,,,,,,,,,,,,,
BRTS,100-U,100-U-21,21,Apple Hospital,अ‍ॅपल हॉस्पिटल,18.588332,73.781379,8,," 18.67209,73.96703",,,,,,,,,,,,,,
BRTS,100-U,100-U-22,22,Mankar Chowk,मानकर चौक,18.590416,73.773380,9,," 18.67336,73.97006",,,,,,,,,,,,,,
BRTS,100-U,100-U-23,23,Mount Vert Society Wakad,माऊंट व्हर्ट सोसायटी वाकड ,18.590136,73.769824,9,,,,,,,,,,,,,,,,
BRTS,100-U,100-U-24,24,Wakad Chowk,वाकड,18.592292,73.761924,9,,,,,,,,,,,,,,,,
BRTS,100-U,100-U-25,25,Sawtamali Mandir,सावतामाळी मंदिर,18.591750,73.754530,9,,,,,,,,,,,,,,,,
BRTS,100-U,100-U-26,26,Hinjawadi Jakat Naka,हिंजवडी जकात नाका,18.595850,73.740270,10,,,,,,,,,,,,,,,,
BRTS,100-U,100-U-27,27,Shivaji Chowk Hinjawadi,शिवाजी चौक हिंजवडी,18.590952,73.738890,10,,,,,,,,,,,,,,,,
BRTS,100-U,100-U-28,28,Infosys Phase 1,इन्फोसिसिफेज 1,18.586293,73.733322,11,,,,,,,,,,,,,,,,
BRTS,100-U,100-U-29,29,Siemens,सिमेन्स,18.591000,73.732934,11,,,,,,,,,,,,,,,,
BRTS,100-U,100-U-30,30,Bank Of Maharashtra Hinjawadi,बँक ऑफ महाराष्ट्र,18.594083,73.729656,11,,,,,,,,,,,,,,,,
BRTS,100-U,100-U-31,31,Tata Johnsan,टाटा जॉन्सन,18.594354,73.728016,11,,,,,,,,,,,,,,,,
BRTS,100-U,100-U-32,32,Wipro Company Circle,विप्रो कंपनी सर्कल,18.596842,73.718571,12,,,,,,,,,,,,,,,,
BRTS,100-U,100-U-33,33,Emcure,एमक्युअर,18.595943,73.713016,12,,,,,,,,,,,,,,,,
BRTS,100-U,100-U-34,34,Infosys Phase 2,इन्फोसीस फेज 2,18.593672,73.708373,13,,,,,,,,,,,,,,,,
BRTS,100-U,100-U-35,35,Power House Hinjawadi,पॉवर हाऊस हिंजवडी, 18.58916,73.705160,13,,,,,,,,,,,,,,,,
BRTS,100-U,100-U-36,36,Tata Motors,टाटा मोटर्स,18.586665,73.699956,14,,,,,,,,,,,,,,,,
BRTS,100-U,100-U-37,37,Tech Mahindra,टेक महेंद्रा,18.581215,73.687763,14,,,,,,,,,,,,,,,,
BRTS,100-U,100-U-38,38,Hinjawadi Maan Phase 3,हिंजवडी माण फेज ३,18.576539,73.688389,15,,,,,,,,,,,,,,,,
Non-BRTS,101-D,101-D-00,0,Kondhwa Bk,कोंढवा बु.,18.454190,73.890660,1,,,,,,,,,,,,,,,,
Non-BRTS,101-D,101-D-01,1,Ramdas Maral,रामदास मरळ,18.457354,73.890823,2,,,,,,,,,,,,,,,,
Non-BRTS,101-D,101-D-02,2,Talab Company,तालाब कंपनी,18.461705,73.890321,2,,,,,,,,,,,,,,,,
Non-BRTS,101-D,101-D-03,3,Kondhwa Police Station,कोंढवा पोलीस स्टेशन,18.463190,73.889488,2,,,,,,,,,,,,,,,,
Non-BRTS,101-D,101-D-04,4,Chaitanya Vidyalay,चैतन्य विद्यालय,18.468647,73.888936,2,, , ,,,,,,,,,,,,,
Non-BRTS,101-D,101-D-05,5,Kondhwa Kh,कोंढवा खुर्द,18.473000,73.889113,3,,, ,,,,,,,,,,,,,
Non-BRTS,101-D,101-D-06,6,Kondhwa Shala,कोंढवा शाळा,18.476033,73.889608,3,, , ,,,,,,,,,,,, ,
Non-BRTS,101-D,101-D-07,7,U Co Bank,यू को बँक,18.479033,73.890650,3,,, , ,,,,,,,, ,,,,
Non-BRTS,101-D,101-D-08,8,Kamela,कमेला,18.482842,73.890993,3,, , ,,,,,,, ,,,,,,
Non-BRTS,101-D,101-D-09,9,Lullanagar,लुल्लानगर,18.485119,73.889547,4,,  , ,,,,,,,,,,,,,
Non-BRTS,101-D,101-D-10,10,Netajinagar,नेताजीनगर,18.488081,73.892815,4,,, ,,,,,,,,,,,,,
Non-BRTS,101-D,101-D-11,11,Shinde Chhatri,शिंदे छत्री,18.492007,73.894471,4,,,,,,,,,,,,,,,,
Non-BRTS,101-D,101-D-12,12,Vanwadi Bazar,वानवडी बाजार,18.495140,73.894490,4,, , ,,,,,,,,,,,,,
Non-BRTS,101-D,101-D-13,13,Vanwadi Corner,वानवडी कॉर्नर,18.498479,73.895317,5,,, , ,,,,,,,,,,,,
Non-BRTS,101-D,101-D-14,14,Military Hospital Vanawadi ,मिल्ट्री हॉस्पिटल वानवडी,18.501818,73.890816,5,,, , ,,,,,,,,,,,,
Non-BRTS,101-D,101-D-15,15,Limb Center,लिंब सेंटर,18.503897,73.887724,5,,,,,,,,,,,,,,,,
Non-BRTS,101-D,101-D-16,16,Mahatma Gandhi Stand,महात्मा गांधी स्टॅण्ड,18.504904,73.882404,5,,,,,,,,,,,,,,,,
Non-BRTS,101-D,101-D-17,17,Golibar Maidan,गोळीबार मैदान,18.502202,73.876229,6,,, , ,,,,,,,,,,,,
Non-BRTS,101-D,101-D-18,18,Meera Society,मिरा सोसायटी,18.501784,73.872310,6,, ,, ,,,,,,,,,,,,
Non-BRTS,101-D,101-D-19,19,ST Vibhagiya Karyalay,एसटी विभागीय कार्यालय,18.500407,73.866537,6,,, ,,,,,,,,,,,,,
Non-BRTS,101-D,101-D-20,20,Ghorpade Peth,घोरपडे पेठ,18.499884,73.863814,6,,,,,,,,,,,,,,,,
Non-BRTS,101-D,101-D-21,21,Swargate Depo,स्वारगेट डेपो,18.500158,73.861415,7,,,,,,,,,,,,,,,,
Non-BRTS,101-D,101-D-22,22,Nehru Stadium,नेहरू स्‍टेडीयम,18.501110,73.855510,7,,,,,,,,,,,,,,,,
Non-BRTS,101-D,101-D-23,23,Sarasbaug,सारसबाग,18.503399,73.853721,7,,,,,,,,,,,,,,,,
Non-BRTS,101-D,101-D-24,24,Madiwale Colony,माडीवाले कॉलनी,18.506132,73.852753,7,,,,,,,,,,,,,,,,
Non-BRTS,101-D,101-D-25,25,SP College,एसपी कॉलेज,18.507086,73.851410,7,,,,,,,,,,,,,,,,
Non-BRTS,101-D,101-D-26,26,Maharashtra Mandal,महाराष्ट्र मंडळ,18.509646,73.847397,7,,,,,,,,,,,,,,,,
Non-BRTS,101-D,101-D-27,27,Sahitya Parishad,साहित्य परिषद,18.510901,73.845717,8,,,,,,,,,,,,,,,,
Non-BRTS,101-D,101-D-28,28,Deccan Corner,डेक्कन कॉर्नर,18.513955,73.841853,8,,,,,,,,,,,,,,,,
Non-BRTS,101-D,101-D-29,29,Garware College,गरवारे कॉलेज,18.512112,73.838403,8,,,,,,,,,,,,,,,,
Non-BRTS,101-D,101-D-30,30,Sonal Hall,सोनल हॉल,18.510405,73.834854,8,,,,,,,,,,,,,,,,
Non-BRTS,101-D,101-D-31,31,Nal Stop,नळ स्टॉप,18.508895,73.832018,8,,,,,,,,,,,,,,,,
Non-BRTS,101-D,101-D-32,32,SNDT College,एसएनडीटी कॉलेज,18.507228,73.828329,9,,,,,,,,,,,,,,,,
