Non-BRTS,320-D,320-D-41,41,Durvankur Mangal Karyalay,दुर्वांकर मंगल कार्यालय,18.625703,73.861877,12,,,,,,,,,,,,,,,,
Non-BRTS,320-D,320-D-42,42,Banacha Odha,बनाचा ओढा,18.627483,73.865440,13,"18.73368,73.75754",,,,,,,,,,,,,,,
Non-BRTS,320-D,320-D-43,43,Gajanan Maharaj Mandir Alandi Road,गजानन महाराज मंदिर आळंदी रोड,18.631935,73.872740,13,"18.73912,73.75525",,,,,,,,,,,,,,,
Non-BRTS,320-D,320-D-44,44,Magzine,मॅगझीन,18.632462,73.873508,13,,,,,,,,,,,,,,,,
Non-BRTS,320-D,320-D-45,45,Moze Vidyalay Alandi Road,मोझे विद्यालय आळंदी रोड ,18.638870,73.875400,13,,,,,,,,,,,,,,,,
Non-BRTS,320-D,320-D-46,46,Sai Mandir,साई मंदिर,18.641539,73.877419,14,,,,,,,,,,,,,,,,
Non-BRTS,320-D,320-D-47,47,Nirma Company,निरमा कंपनी,18.646120,73.880530,14,,,,,,,,,,,,,,,,
Non-BRTS,320-D,320-D-48,48,Gokhalemala,गोखलेमळा,18.650820,73.882250,14,,,,,,,,,,,,,,,,
Non-BRTS,320-D,320-D-49,49,Vadmukhwadi,वडमुखवाडी,18.653990,73.884120,14,,,,,,,,,,,,,,,,
Non-BRTS,320-D,320-D-50,50,Chovisawadi,चोवीसावाडी,18.659481,73.886269,14,,,,,,,,,,,,,,,,
Non-BRTS,320-D,320-D-51,51,Charholi Phata,चऱ्होली फाटा,18.662834,73.886803,15,,,,,,,,,,,,,,,,
Non-BRTS,320-D,320-D-52,52,Katevasti,काटेवस्ती,18.666650,73.889300,15,,,,,,,,,,,,,,,,
Non-BRTS,320-D,320-D-53,53,Kalewadi Pump,काळेवाडी पंप,18.668170,73.890360,15,,,,,,,,,,,,,,,,
Non-BRTS,320-D,320-D-54,54,Dehu Phata,देहू फाटा,18.669912,73.891193,15,,,,,,,,,,,,,,,,
Non-BRTS,320-D,320-D-55,55,ST Stand Alandi,एसटी स्टॅन्ड आळंदी,18.672316,73.892425,16,,,,,,,,,,,,,,,,
Non-BRTS,320-D,320-D-56,56,Alandi,आळंदी,18.674810,73.896990,17,,,,,,,,,,,,,,,,
Non-BRTS,320-U,320-U-00,0,Alandi,आळंदी,18.674810,73.896990,1,,,,,,,,,,,,,,,,
Non-BRTS,320-U,320-U-01,1,ST Stand Alandi,एसटी स्टॅन्ड आळंदी,18.672316,73.892425,2,,,,,,,,,,,,,,,,
Non-BRTS,320-U,320-U-02,2,Dehu Phata,देहू फाटा,18.669912,73.891193,2,,,,,,,,,,,,,,,,
Non-BRTS,320-U,320-U-03,3,Kalewadi Pump,काळेवाडी पंप,18.668170,73.890360,2,,,,,,,,,,,,,,,,
